"","longitude","latitude","name","values"
"391",-110.88622,32.52596,"SADDLEBROOKE 0.7 S",2
"392",-114.26617,35.61259,"DOLAN SPRINGS 1.4 NNE",0
"393",-112.60268,33.87243,"MORRISTOWN 1.5 NE",0
"394",-111.02046,32.37575,"TUCSON 12.3 NNW",1
"395",-111.84586,33.59239,"SCOTTSDALE 6.9 NNE",0
"396",-111.8778,34.5997,"CAMP VERDE 3.2 NNW",1
"397",-112.32785,34.61243,"PRESCOTT VALLEY 1.0 W",3
"398",-111.57913,35.18356,"FLAGSTAFF 4.0 E",0
"399",-112.2241,34.51402,"DEWEY-HUMBOLDT 1.4 SE",0
"400",-110.85827,32.27229,"TUCSON 5.1 NE",2
"401",-110.788,32.16759,"TUCSON 8.5 ESE",2
"402",-111.11534,31.98712,"SAHUARITA 10.0 WNW",1
"403",-111.0709,32.2841,"TUCSON 9.9 WNW",2
"404",-110.71552,31.98556,"VAIL 1.4 SW",0
"405",-112.81546,33.39289,"BUCKEYE 13.7 W",0
"406",-112.5708,34.55555,"PRESCOTT 6.4 W",2
"407",-112.50303,34.58114,"PRESCOTT 3.8 NW",2
"408",-110.12961,31.43701,"HEREFORD 1.9 WSW",1
"409",-112.09439,33.29524,"PHOENIX 10.1 S",0
"410",-112.49797,34.55205,"PRESCOTT 2.3 WNW",2
"411",-112.07967,33.62325,"PHOENIX 12.7 N",0
"412",-112.53126,34.67861,"PRESCOTT 10.4 NNW",2
"413",-111.55414,35.30907,"FLAGSTAFF 9.8 NNE",0
"414",-111.97697,34.71122,"COTTONWOOD 1.8 SE",0
"415",-111.70779,35.24023,"FLAGSTAFF 4.8 NW",0
"416",-111.07826,32.44148,"MARANA 8.3 E",0
"417",-110.93158,31.8768,"GREEN VALLEY 3.9 ENE",1
"418",-111.9374,33.8503,"CAVE CREEK 1.6 NNE",0
"419",-110.89436,32.232,"TUCSON 1.7 ENE",2
"420",-112.44834,34.57652,"PRESCOTT 2.6 NNE",1
"421",-111.74481,33.60283,"FOUNTAIN HILLS 2.1 WSW",1
"422",-111.35433,34.2468,"PAYSON 2.3 WNW",0
"423",-110.9651,32.29325,"TUCSON 5.7 NNW",1
"424",-111.6164,35.22168,"FLAGSTAFF 2.9 NE",0
"425",-110.08682,34.25362,"SHOW LOW 3.8 W",0
"426",-111.1446,32.1282,"TUCSON 14.6 WSW",2
"427",-112.12555,33.65083,"PHOENIX 14.9 NNW",0
"428",-112.1888,34.6646,"PRESCOTT VALLEY 7.9 ENE",1
"429",-112.21644,33.60487,"PEORIA 1.9 NNE",0
"430",-112.09793,34.31538,"MAYER 9.7 SE",1
"431",-110.8319,32.2043,"TUCSON 5.3 ESE",2
"432",-110.072,31.75622,"TOMBSTONE 3.3 NNW",1
